name,assigned_gender,count
Elinor,1,9
Emeline,1,9
Emilia,1,9
Esta,1,9
Estell,1,9
Etha,1,9
Fred,1,9
Hope,1,9
Indiana,1,9
Ione,1,9
Jettie,1,9
Johnnie,1,9
Josiephine,1,9
Kitty,1,9
Lavina,1,9
Leda,1,9
Letta,1,9
Mahala,1,9
Marcia,1,9
Margarette,1,9
Maudie,1,9
Maye,1,9
Norah,1,9
Oda,1,9
Patty,1,9
Paula,1,9
Permelia,1,9
Rosalia,1,9
Roxanna,1,9
Sula,1,9
Vada,1,9
Winnifred,1,9
Adline,1,8
Almira,1,8
Alvena,1,8
Arizona,1,8
Becky,1,8
Bennie,1,8
Bernadette,1,8
Camille,1,8
Cordia,1,8
Corine,1,8
Dicie,1,8
Dove,1,8
Drusilla,1,8
Elena,1,8
Elenora,1,8
Elmina,1,8
Ethyl,1,8
Evalyn,1,8
Evelina,1,8
Faye,1,8
Huldah,1,8
Idell,1,8
Inga,1,8
Irena,1,8
Jewell,1,8
Kattie,1,8
Lavenia,1,8
Leslie,1,8
Lovina,1,8
Lulie,1,8
Magnolia,1,8
Margeret,1,8
Margery,1,8
Media,1,8
Millicent,1,8
Nena,1,8
Ocie,1,8
Orilla,1,8
Osie,1,8
Pansy,1,8
Ray,1,8
Rosia,1,8
Rowena,1,8
Shirley,1,8
Tabitha,1,8
Thomas,1,8
Verdie,1,8
Walter,1,8
Zetta,1,8
Zoa,1,8
Zona,1,8
Albertina,1,7
Albina,1,7
Alyce,1,7
Amie,1,7
Angela,1,7
Annis,1,7
Carol,1,7
Carra,1,7
Clarence,1,7
Clarinda,1,7
Delphia,1,7
Dillie,1,7
Doshie,1,7
Drucilla,1,7
Etna,1,7
Eugenie,1,7
Eulalia,1,7
Eve,1,7
Felicia,1,7
Florance,1,7
Fronie,1,7
Geraldine,1,7
Gina,1,7
Glenna,1,7
Grayce,1,7
Hedwig,1,7
Jessica,1,7
Jossie,1,7
Katheryn,1,7
Katy,1,7
Lea,1,7
Leanna,1,7
Leitha,1,7
Leone,1,7
Lidie,1,7
Loma,1,7
Lular,1,7
Magdalen,1,7
Maymie,1,7
Minervia,1,7
Muriel,1,7
Neppie,1,7
Olie,1,7
Onie,1,7
Osa,1,7
Otelia,1,7
Paralee,1,7
Patience,1,7
Rella,1,7
Rillie,1,7
Rosanna,1,7
Theo,1,7
Tilda,1,7
Tishie,1,7
Tressa,1,7
Viva,1,7
Yetta,1,7
Zena,1,7
Zola,1,7
Abby,1,6
Aileen,1,6
Alba,1,6
Alda,1,6
Alla,1,6
Alverta,1,6
Ara,1,6
Ardelia,1,6
Ardella,1,6
Arrie,1,6
Arvilla,1,6
Augustine,1,6
Aurora,1,6
Bama,1,6
Bena,1,6
Byrd,1,6
Calla,1,6
Camilla,1,6
Carey,1,6
Carlotta,1,6
Celestia,1,6
Cherry,1,6
Cinda,1,6
Classie,1,6
Claudine,1,6
Clemie,1,6
Clifford,1,6
Clyda,1,6
Creola,1,6
Debbie,1,6
Dee,1,6
Dinah,1,6
Doshia,1,6
Ednah,1,6
Edyth,1,6
Eleanora,1,6
Electa,1,6
Eola,1,6
Erie,1,6
Eudora,1,6
Euphemia,1,6
Evalena,1,6
Evaline,1,6
Faith,1,6
Fidelia,1,6
Freddie,1,6
Golda,1,6
Harry,1,6
Helma,1,6
Hermine,1,6
Hessie,1,6
Ivah,1,6
Janette,1,6
Jennette,1,6
Joella,1,6
Kathryne,1,6
Lacy,1,6
Lanie,1,6
Lauretta,1,6
Leana,1,6
Leatha,1,6
Leo,1,6
Liller,1,6
Lillis,1,6
Louetta,1,6
Madie,1,6
Mai,1,6
Martina,1,6
Maryann,1,6
Melva,1,6
Mena,1,6
Mercedes,1,6
Merle,1,6
Mima,1,6
Minda,1,6
Monica,1,6
Nealie,1,6
Netta,1,6
Nolia,1,6
Nonie,1,6
Odelia,1,6
Ottilie,1,6
Phyllis,1,6
Robbie,1,6
Sabina,1,6
Sada,1,6
Sammie,1,6
Suzanne,1,6
Sybilla,1,6
Thea,1,6
Tressie,1,6
Vallie,1,6
Venie,1,6
Viney,1,6
Wilhelmine,1,6
Winona,1,6
Zelda,1,6
Zilpha,1,6
Adelle,1,5
Adina,1,5
Adrienne,1,5
Albertine,1,5
Alys,1,5
Ana,1,5
Araminta,1,5
Arthur,1,5
Birtha,1,5
Bulah,1,5
Caddie,1,5
Celie,1,5
Charlotta,1,5
Clair,1,5
Concepcion,1,5
Cordella,1,5
Corrine,1,5
Delila,1,5
Delphine,1,5
Dosha,1,5
Edgar,1,5
Elaine,1,5
Elisa,1,5
Ellar,1,5
Elmire,1,5
Elvina,1,5
Ena,1,5
Estie,1,5
Etter,1,5
Fronnie,1,5
Genie,1,5
Georgina,1,5
Glenn,1,5
Gracia,1,5
Guadalupe,1,5
Gwendolyn,1,5
Hassie,1,5
Honora,1,5
Icy,1,5
Isa,1,5
Isadora,1,5
Jesse,1,5
Jewel,1,5
Joe,1,5
Johannah,1,5
Juana,1,5
Judith,1,5
Judy,1,5
Junie,1,5
Lavonia,1,5
Lella,1,5
Lemma,1,5
Letty,1,5
Linna,1,5
Littie,1,5
Lollie,1,5
Lorene,1,5
Louis,1,5
Love,1,5
Lovisa,1,5
